x,y,z,energy
-14,-697,771,1039.45
-17,-708,780,1053.54
-11,-707,784,1055.76
-11,-707,786,1057.24
-10,-708,780,1053.45
-16,-708,778,1052.05
-7,-701,783,1050.97
-18,-713,772,1051.04
-17,-705,787,1056.73
-16,-710,781,1055.61
-15,-705,778,1050.02
-17,-708,777,1051.32
-22,-709,779,1053.57
-19,-703,783,1052.45
-23,-701,790,1056.42
-25,-699,792,1056.64
-23,-696,790,1053.11
-24,-698,782,1048.48
-23,-702,796,1061.58
-26,-710,796,1066.95
-27,-707,792,1062
-26,-703,781,1051.12
-31,-707,786,1057.64
-28,-698,782,1048.58
-33,-699,779,1047.15
-37,-688,803,1058.07
-38,-685,796,1050.85
-41,-689,796,1053.57
-40,-682,805,1055.82
-43,-680,818,1064.6
-34,-681,800,1051.15
-28,-688,796,1052.49
-26,-696,785,1049.44
-30,-697,787,1051.7
-16,-698,780,1046.83
-26,-700,784,1051.35
-29,-700,791,1056.66
-26,-701,790,1056.49
-22,-702,783,1051.84
-24,-700,766,1037.95
-22,-707,763,1040.43
-20,-703,774,1045.79
-28,-705,782,1053.25
-24,-702,783,1051.89
-27,-693,775,1040
-29,-698,780,1047.11
-30,-703,768,1041.6
-28,-704,797,1063.77
-21,-694,779,1043.51
-27,-704,782,1052.55
-17,-695,782,1046.35
-29,-695,785,1048.85
-31,-695,794,1055.66
-31,-699,790,1055.3
-33,-699,801,1063.62
-23,-698,789,1053.69
-23,-706,784,1055.28
-23,-702,779,1048.89
-37,-707,788,1059.32
-25,-701,783,1051.24
-34,-693,768,1035
-28,-707,782,1054.59
-26,-704,772,1045.12
-26,-702,783,1051.94
-26,-699,784,1050.68
-24,-703,778,1048.84
-27,-703,780,1050.4
-28,-704,779,1050.35
-30,-698,783,1049.38
-30,-702,787,1055.02
-29,-705,772,1045.87
-28,-702,778,1048.27
-21,-700,766,1037.88
-23,-703,767,1040.69
-34,-701,796,1061.21
-31,-690,776,1038.86
-17,-696,790,1053
-31,-691,785,1046.26
-30,-697,783,1048.71
-32,-690,792,1050.9
-41,-683,803,1054.98
-51,-694,788,1051.28
-31,-697,794,1056.98
-35,-695,787,1050.53
-21,-689,777,1038.7
-28,-695,781,1045.83
-25,-693,778,1042.19
-13,-691,796,1054.17
-17,-695,785,1048.59
-32,-698,777,1044.97
-23,-702,779,1048.89
-28,-706,786,1056.89
-22,-700,771,1041.6
-12,-707,784,1055.77
-61,-702,768,1042.28
-32,-688,786,1045.07
-42,-689,782,1043.08
-15,-687,798,1053.09
23,-683,810,1059.77
-26,-733,792,1079.46
-13,-696,786,1049.94
-10,-692,778,1041.27
-17,-695,790,1052.34
-13,-701,767,1039.16
-3,-697,799,1060.29
-1,-703,796,1061.99
8,-699,788,1053.38
5,-701,782,1050.21
-7,-694,788,1050.06
-4,-706,792,1061
166,-802,635,1036.33
246,-767,666,1045.16
268,-754,690,1056.62
170,-681,786,1053.78
105,-769,738,1070.99
84,-718,703,1008.36
111,-751,719,1045.6
110,-733,759,1060.88
97,-755,734,1057.45
94,-737,742,1050.03
105,-736,742,1050.37
126,-736,749,1057.63
129,-734,745,1053.77
115,-756,702,1038.06
61,-757,730,1053.41
41,-742,757,1060.8
66,-742,744,1052.83
55,-761,723,1051.13
69,-740,746,1053.03
53,-716,749,1037.53
65,-731,740,1042.2
75,-732,739,1042.87
79,-765,741,1067.96
69,-740,746,1053.03
81,-748,722,1042.76
64,-746,722,1040.14
78,-756,741,1061.46
89,-715,737,1030.69
94,-736,749,1054.29
91,-733,722,1032.89
95,-721,738,1036.1
93,-740,727,1041.53
107,-739,732,1045.65
96,-753,715,1042.81
100,-751,722,1046.56
