x,y,z,energy
-54,-877,755,1158.48
-309,-799,563,1025.11
118,-1015,748,1266.35
-98,-781,823,1138.81
129,-943,810,1249.8
48,-1005,902,1351.27
44,-1037,818,1321.53
56,-977,783,1253.3
29,-1166,822,1426.91
32,-1455,886,1703.83
-464,-1443,681,1661.72
-309,-1009,628,1227.98
-35,-988,648,1182.06
-45,-920,640,1121.62
31,-719,596,934.42
-104,-867,638,1081.46
-96,-887,423,987.38
-167,-759,519,934.52
-97,-705,479,857.83
98,-725,530,903.4
-59,-913,632,1111.97
-253,-992,621,1197.38
157,-1148,492,1258.82
-211,-1192,646,1372.12
48,-1272,660,1433.84
-231,-1319,724,1522.27
71,-1396,722,1573.26
-182,-1358,815,1594.21
104,-1303,838,1552.7
116,-1139,796,1394.41
117,-1149,859,1439.36
91,-1109,865,1409.39
5,-1158,662,1333.88
55,-987,812,1279.27
-46,-1079,821,1356.61
71,-979,829,1284.8
10,-1029,776,1288.84
156,-1091,789,1355.41
55,-1070,781,1325.85
9,-1120,792,1371.77
-47,-1161,731,1372.77
123,-1000,810,1292.76
-116,-1044,755,1293.61
5,-781,477,915.16
-77,-837,594,1029.24
189,-991,831,1307.04
96,-1158,838,1432.63
98,-1021,893,1359.96
113,-1243,812,1489.01
112,-1154,809,1413.77
136,-1386,821,1616.64
-348,-1418,600,1578.55
70,-1443,492,1526.18
-108,-1303,595,1436.49
162,-1190,594,1339.84
210,-884,599,1088.28
-73,-950,590,1120.68
70,-837,565,1012.27
14,-918,558,1074.38
-3,-627,462,778.83
224,-602,532,834.03
1,-519,443,682.36
58,-445,351,569.73
-9,-468,300,555.97
44,-504,432,665.26
-29,-559,442,713.22
48,-518,460,694.43
106,-494,504,713.64
-8,-466,545,717.11
98,-724,592,940.34
130,-800,672,1052.85
103,-973,673,1187.55
97,-1168,669,1349.52
61,-1069,729,1295.35
9,-1223,651,1385.5
31,-1232,610,1375.09
-12,-1327,763,1530.77
109,-1670,729,1825.44
402,-1077,499,1253.21
-227,-953,521,1109.59
254,-999,511,1150.49
252,-1000,643,1215.3
143,-1152,500,1263.94
-123,-835,420,942.74
102,-644,302,718.57
-188,-836,286,903.35
-79,-1546,436,1608.25
-42,-470,113,485.21
36,-425,109,440.23
6,-419,242,483.9
68,-647,230,690.02
-80,-660,301,729.8
-72,-808,261,852.16
12,-844,324,904.13
-146,-891,317,956.91
-181,-1040,178,1070.53
-110,-1197,426,1275.3
123,-1105,611,1268.65
-491,-1058,353,1218.63
241,-1152,425,1251.32
-44,-1070,524,1192.23
-128,-1049,354,1114.5
-23,-981,361,1045.57
33,-817,320,878.05
-97,-913,341,979.42
-21,-792,388,882.18
44,-916,271,956.26
160,-874,427,985.8
2,-1247,372,1301.31
-98,-950,490,1073.41
73,-789,468,920.26
50,-715,351,798.08
72,-444,337,562.04
83,-476,310,574.08
-12,-489,360,607.34
36,-950,370,1020.15
-57,-815,520,968.44
112,-897,397,987.3
-154,-777,512,943.18
-24,-688,479,838.67
-93,-729,427,849.95
11,-624,392,736.99
-40,-752,444,874.21
247,-865,316,953.46
62,-850,294,901.54
155,-775,385,879.13
-157,-916,488,1049.69
139,-898,403,994.05
68,-1118,374,1180.86
-78,-1066,539,1197.06
16,-652,467,802.15
-73,-493,328,596.63
42,-430,286,518.13
-37,-438,251,506.18
146,-565,286,649.87
-2,-795,403,891.31
-49,-1011,364,1075.65
204,-1126,648,1315.07
154,-971,456,1083.74
78,-665,424,792.52
-7,-847,236,879.29
214,-1010,481,1138.97
-34,-1223,344,1270.91
-128,-1007,514,1137.82
76,-923,386,1003.34
6,-1049,342,1103.36
-153,-1090,622,1264.28
77,-890,448,999.37
3,-721,376,813.16
-245,-1001,381,1098.72
71,-903,450,1011.41
-20,-771,429,882.54
43,-601,328,686.03
260,-1065,358,1153.25
-108,-1425,259,1452.37
-152,-1218,697,1411.54
135,-1156,553,1288.55
-134,-988,421,1082.29
-52,-763,394,860.3
-31,-707,398,811.92
70,-534,340,636.91
38,-544,262,605
27,-511,304,595.2
67,-478,295,565.68
83,-512,297,597.7
-7,-531,282,601.28
-43,-546,379,666.04
45,-843,285,891.01
88,-1163,438,1245.86
-199,-1188,419,1275.35
133,-1164,396,1236.69
-16,-1523,227,1539.91
-246,-1265,698,1465.59
-33,-997,347,1056.18
-290,-1000,258,1072.69
92,-814,324,880.93
82,-835,254,876.62
78,-962,429,1056.2
-123,-1093,401,1170.72
-32,-1055,318,1102.35
-169,-1339,446,1421.41
-224,-1153,575,1307.75
125,-1140,602,1295.23
-94,-962,434,1059.55
-39,-687,450,822.19
-45,-517,283,591.1
-12,-629,281,689.02
-29,-752,307,812.77
70,-985,391,1062.08
-175,-1146,364,1215.09
282,-1199,356,1282.13
-287,-1144,353,1231.14
-235,-1459,293,1506.57
178,-1365,594,1499.25
-79,-812,460,936.58
18,-612,347,703.76
139,-542,288,629.31
85,-849,291,901.5
-27,-1070,367,1131.51
