x,y,z,energy
284,-872,414,1006.2
-176,-265,322,452.64
-38,-550,214,591.39
-287,-1964,674,2096.17
212,238,-383,498.27
-189,-2039,814,2203.6
-324,249,-48,411.44
683,-563,-307,936.86
-615,-295,-112,691.23
283,92,-228,374.88
-1065,-1865,417,2187.77
-273,-277,297,489.35
238,-649,71,694.9
44,-1194,628,1349.8
-402,-137,73,430.93
-259,-1023,329,1105.37
583,-789,-160,993.99
-268,-278,40,388.21
-185,-1459,495,1551.75
396,-352,-283,600.67
161,-2010,879,2199.7
-193,15,-290,348.67
224,-2039,1011,2286.88
-266,-328,-28,423.23
596,-1686,1270,2193.33
271,62,-213,350.22
-236,-1900,907,2118.57
-160,-267,410,514.77
566,-883,1160,1563.86
437,-829,438,1034.43
-472,-842,228,991.83
1119,-883,1542,2099.91
323,-213,59,391.38
-259,-2014,1550,2554.56
380,-758,542,1006.34
-412,-873,1413,1711.27
-168,-405,74,444.66
321,-1860,344,1918.59
-416,-2039,572,2158.18
-367,329,160,518.2
166,407,-362,569.43
75,-2039,872,2218.9
-214,41,-202,297.12
-92,-1510,614,1632.65
581,-751,4,949.51
170,-857,163,888.77
-531,-1346,518,1536.88
-313,-32,415,520.79
-285,-1787,570,1897.23
-9,43,99,108.31
141,-2039,985,2268.84
-287,-1978,912,2196.95
-343,-17,187,391.03
1225,-2039,409,2413.59
571,463,-324,803.36
-77,-2039,976,2261.86
30,-1811,596,1906.79
189,-1820,486,1893.23
-692,-352,-193,800.01
62,-1369,356,1415.89
682,-389,49,786.67
501,-1076,244,1211.74
-195,-783,227,838.24
519,-742,308,956.45
-53,-371,207,428.13
89,-957,483,1075.67
34,-2039,927,2240.09
322,406,-4,518.2
-88,-1273,473,1360.88
174,-77,-214,286.36
-623,-1715,1088,2124.41
156,-1817,823,2000.79
-35,-8,-230,232.79
-49,-1842,702,1971.84
-47,374,-284,471.95
142,-563,52,582.96
-217,-66,-192,297.17
328,-2039,-1094,2337.08
212,-512,75,559.21
-191,-60,-158,255.04
291,67,-123,322.95
-59,154,23,166.51
-573,-1547,736,1806.44
18,-725,351,805.7
-263,41,-2,266.18
-81,-2039,1046,2293.08
49,-179,129,226.02
-121,32,-58,137.95
-111,-2039,1301,2421.25
91,-207,60,233.94
-169,61,-69,192.47
42,-75,-21,88.49
14,-466,-251,529.48
64,-373,141,403.86
-110,-108,-286,324.9
-21,-2039,647,2139.29
184,-882,162,915.44
179,-197,70,275.23
204,150,-235,345.46
131,-281,527,611.43
-211,-1678,474,1756.38
210,314,-200,427.43
-202,-2038,691,2161.42
-254,-607,356,748.13
15,-45,-219,224.08
-1082,-2039,869,2466.46
-86,-11,15,87.99
27,-192,-7,194.02
7,-2018,1027,2264.31
-196,182,-26,268.73
-315,-1205,954,1568.87
-221,-979,280,1041.96
-175,-1403,550,1517.08
37,-1558,458,1624.35
286,187,-195,393.43
-97,-2039,696,2156.7
-65,-377,218,440.32
159,-116,-105,223.07
-486,-1962,1237,2369.77
-49,162,-39,173.68
411,-490,383,745.46
107,401,42,417.15
17,-306,-36,308.58
113,-1317,747,1518.31
-74,-1132,477,1230.62
-9,208,-375,428.92
-91,-2037,209,2049.71
-174,-320,-282,460.65
821,-2039,632,2287.13
144,-51,-209,258.88
232,-407,642,794.76
